name,source_category
Aarakocra,Category:Aarakocra
Asharra,Category:Aarakocra
Alekra Donakkis,Category:Aarakocra
Kazra,Category:Aarakocra
Jarnathan,Category:Aarakocra
Aiden,Category:Aasimar
Caelar Argent,Category:Aasimar
Deva (aasimar),Category:Aasimar
Joy,Category:Aasimar
Light of Heavens,Category:Aasimar
Randall Lyric,Category:Aasimar
Sirge de La Sunya,Category:Aasimar
Turiel,Category:Aasimar
Randal Whytstone,Category:Aasimar
Xale,Category:Aasimar
Nar'ysr,Category:Abbalayar
Eldest,Category:Aboleths
Illuun,Category:Aboleths
Visil'Taphenos Meadswimmer,Category:Aboleths
Nevik'Dethig,Category:Aboleths
Oothoon,Category:Aboleths
Skum Lord,Category:Aboleths
Stone of Golorr,Category:Aboleths
Yngukulub,Category:Aboleths
Aasim al-Gammam,Category:Administrator genies
Sandara al-Sahil,Category:Administrator genies
Sunil al-Sahil,Category:Administrator genies
Akadi,Category:Air elementals
Bootara,Category:Air elementals
Firebird (elemental),Category:Air elementals
Maswat-rih,Category:Air elementals
Mihstu,Category:Air elementals
Skriaxit,Category:Air elementals
Vortex (elemental),Category:Air elementals
Wind walker,Category:Air elementals
Kurdin,Category:Alaghi
Alhoon,Category:Alhoons
Iryxreer Alhixarblot,Category:Alhoons
Aulagol,Category:Alhoons
Beast Lord,Category:Alhoons
Cthylarr,Category:Alhoons
Hwarlg,Category:Alhoons
Killithor,Category:Alhoons
Nalynaul,Category:Alhoons
Ralayan,Category:Alhoons
Syrzan,Category:Alhoons
Thalynsar,Category:Alhoons
Tsurlanej,Category:Alhoons
Yeldoon,Category:Allips
I'jin,Category:Almiraj
Anthraxus,Category:Altraloths
Charon,Category:Altraloths
Xengahra,Category:Altraloths
Alu-fiend,Category:Alu-fiends
Aliisza,Category:Alu-fiends
Thraxxia,Category:Alu-fiends
Aleithilithos,Category:Amethyst dragons
Amaeraszantha,Category:Amethyst dragons
Amaranthraxine,Category:Amethyst dragons
Amrennathed,Category:Amethyst dragons
Sh'derra D'zeer,Category:Amethyst dragons
Eldenser,Category:Amethyst dragons
Felrivenser,Category:Amethyst dragons
Nyadnar,Category:Amethyst dragons
Nuri al-Zaratani,Category:Amiq rasol
Fhet'Ahla,Category:Amnizus
