name,category,subcategory
name,category,subcategory
Ahmed,1001 Nights,MALE
Hasad,1001 Nights,MALE
Behman,1001 Nights,MALE
Schraiaz,1001 Nights,MALE
Cassim,1001 Nights,MALE
Mahmoud,1001 Nights,MALE
Danash,1001 Nights,MALE
Abdalla,1001 Nights,MALE
Mustapha,1001 Nights,MALE
Douban,1001 Nights,MALE
Gifar,1001 Nights,MALE
Haroun,1001 Nights,MALE
Marzaman,1001 Nights,MALE
Mihrage,1001 Nights,MALE
Damriat,1001 Nights,MALE
Perviz,1001 Nights,MALE
Firouz,1001 Nights,MALE
Rashid,1001 Nights,MALE
Sidi,1001 Nights,MALE
Zouman,1001 Nights,MALE
Amira,1001 Nights,FEMALE
Ismalia,1001 Nights,FEMALE
Balsora,1001 Nights,FEMALE
Nisam,1001 Nights,FEMALE
Serendib,1001 Nights,FEMALE
Dinarzade,1001 Nights,FEMALE
Nour,1001 Nights,FEMALE
Imma,1001 Nights,FEMALE
Maimoune,1001 Nights,FEMALE
Melia,1001 Nights,FEMALE
Badoura,1001 Nights,FEMALE
Malika,1001 Nights,FEMALE
Zara,1001 Nights,FEMALE
Nourigan,1001 Nights,FEMALE
Aziza,1001 Nights,FEMALE
Morgiana,1001 Nights,FEMALE
Parizade,1001 Nights,FEMALE
Maryam,1001 Nights,FEMALE
Serit,1001 Nights,FEMALE
Zoulika,1001 Nights,FEMALE
Mitylene,Amazons,FEMALE
Lysuppe,Amazons,FEMALE
Andromache,Amazons,FEMALE
Aello,Amazons,FEMALE
Orithia,Amazons,FEMALE
Melanippe,Amazons,FEMALE
Autochthw,Amazons,FEMALE
Eumache,Amazons,FEMALE
Areto,Amazons,FEMALE
Thraso,Amazons,FEMALE
Barkida,Amazons,FEMALE
Aganippe,Amazons,FEMALE
Kleodaeis,Amazons,FEMALE
Antiope,Amazons,FEMALE
Deinomache,Amazons,FEMALE
Penthesilea,Amazons,FEMALE
Molpadia,Amazons,FEMALE
Charope,Amazons,FEMALE
Cyrene,Amazons,FEMALE
Synope,Amazons,FEMALE
Yurkemo,Angels and Demons,MALE
Metatron,Angels and Demons,MALE
Ofaniel,Angels and Demons,MALE
Padael,Angels and Demons,MALE
Thegri,Angels and Demons,MALE
Harabael,Angels and Demons,MALE
Zagzagel,Angels and Demons,MALE
Sandalphon,Angels and Demons,MALE
Bahut,Angels and Demons,MALE
Velon,Angels and Demons,MALE
Galitzur,Angels and Demons,MALE
Adirion,Angels and Demons,MALE
Israfil,Angels and Demons,MALE
Cherubiel,Angels and Demons,MALE
Dagiel,Angels and Demons,MALE
Fanuel,Angels and Demons,MALE
Admael,Angels and Demons,MALE
Kemuel,Angels and Demons,MALE
Tebliel,Angels and Demons,MALE
Ra'uel,Angels and Demons,FEMALE
Akraziel,Angels and Demons,FEMALE
Sarakiel,Angels and Demons,FEMALE
Zephaniah,Angels and Demons,FEMALE
Ridya,Angels and Demons,FEMALE
Suriel,Angels and Demons,FEMALE
Hayyel,Angels and Demons,FEMALE
Raguel,Angels and Demons,FEMALE
Turiel,Angels and Demons,FEMALE
Rahab,Angels and Demons,FEMALE
Tarshish,Angels and Demons,FEMALE
Mizraim,Angels and Demons,FEMALE
Hashmal,Angels and Demons,FEMALE
llaniel,Angels and Demons,FEMALE
Akathriel,Angels and Demons,FEMALE
Lailah,Angels and Demons,FEMALE
Yehadriel,Angels and Demons,FEMALE
Baradiel,Angels and Demons,FEMALE
Haldiel,Angels and Demons,FEMALE
Zadkiel,Angels and Demons,FEMALE
Erathaol,Angels and Demons,MALE
Nagrasagiel,Angels and Demons,MALE
Kezef,Angels and Demons,MALE
Dachiel,Angels and Demons,MALE
Hemah,Angels and Demons,MALE
Lahatiel,Angels and Demons,MALE
Dumah,Angels and Demons,MALE
Semhazai,Angels and Demons,MALE
Makatiel,Angels and Demons,MALE
Abaddon,Angels and Demons,MALE
Hutriel,Angels and Demons,MALE
Kushiel,Angels and Demons,MALE
Af,Angels and Demons,MALE
Shoftiel,Angels and Demons,MALE
Kipod,Angels and Demons,MALE
Puruel,Angels and Demons,MALE
Mekalleh,Angels and Demons,MALE
Hariel,Angels and Demons,MALE
Pusiel,Angels and Demons,MALE
Rogziel,Angels and Demons,MALE
Erukwyn,Angels and Demons,MALE
Gaegatapijan,Angels and Demons,MALE
Gilan,Angels and Demons,MALE
Utlin,Angels and Demons,MALE
Gillin,Angels and Demons,MALE
Wanjon,Angels and Demons,MALE
Oltin,Angels and Demons,MALE
Palajon,Angels and Demons,MALE
Api,Angels and Demons,MALE
A/akuqareman,Angels and Demons,MALE
Wewaam,Angels and Demons,MALE
Gujlumen,Angels and Demons,MALE
Iwlpijan,Angels and Demons,MALE
Wanqilir,Angels and Demons,MALE
Utpijan,Angels and Demons,MALE
Palaqilir,Angels and Demons,MALE
Awaam,Angels and Demons,MALE
Ca'ol,Angels and Demons,MALE
Ponegrin,Angels and Demons,MALE
Rorgyn,Angels and Demons,MALE
