name,category,subcategory
1001 Nights,PLACES,
Mecca,,
Najjar,,
Husayn,,
Samarkand,,
Dimashqui / Damascus,,
Rome,,
Constantinople,,
Azhar,,
Mawsil / Mosul,,
Basir,,
Madinah / Medina,,
Fayyad,,
Baghdad,,
Katib,,
Marrakesh,,
Hakam,,
Morocco,,
Walid,,
Hebron,,
Sagher,,
Sanaa,,
Awar,,
Buraydah,,
Darir,,
Tabuk,,
Kabib,,
Kairouan,,
Hasib,,
Jerusalem,,
Abrash,,
Nazara / Nazareth,,
Mubarak,,
Bakkah,,
Quatan,,
Aden,,
Hadad,,
Alexandria,,
1001 Nights,CITIES AND PLACES,
1001 Nights,FASHION AND FOOD,
Cotton,,
silk,,
linen,,
wool,,
Velvet,,
gauze,,
All weights between,,
Rich red,,
blue,,
purple,,
orange dyes,,
Pastels,,
Embroidery,,
Geometries,,
Abstract organic shapes,,
1001 Nights,FASHION FOR MEN,MALE NAMES
Izar,,
Dishdasha,,
Sirwal,,
Thobe,,
Vest,,
Kaftan,,
Mashala,,
Aba,,
Taksirah,,
Taquiyah,,
Ghutra,,
Turban,,
Hayim,,
Khanjar,,
Boots,,
Slippers,,
Sandals,,
FASHION FOR WOMEN,FEMALE NAMES,
Libas,,
Karsh,,
Thob'ob,,
Abya,,
Suriya Mabdu,,
Beladi,,
Jillayh,,
Henna,,
Veil,,
Asab Hrir,,
Chador,,
Amazons,FEMALE,
Mitylene / hornless moon,,
Lysuppe / lets loose the horses,,
Andromache / man fighter,,
Aello / whirlwind,,
Orithia / raging in the mountains,,
Melanippe / black horse,,
Autochthw / created by oneself,,
Eumache / good fighter,,
Areto / unspeakable,,
Thraso / confidence,,
Barkida / grievous in wrath,,
Aganippe / mare who kills mercifully,,
Kleodaeis / famous warrior,,
Antiope / confronting moon,,
Deinomache / terrible warrior,,
Penthesilea / compels men to mourn,,
Molpadia / death song,,
Charope / brilliant confrontation,,
Cyrene / sovereign mistress of the bridle,,
Synope / moon face,,
Angels and Demons,GODS,
Angels and Demons,MALE NAMES,MALE
Yurkemo,Thegri,Harabael
Metatron,Ofaniel,Padael
Zagzagel,Sandalphon,Bahut
Velon,Galitzur,Adirion
Arc,Israfil,Cherubiel
Dagiel,Fanuel,Admael
Kemuel,Tebliel,Whose Crown Branches Out
The Angel of the Face,Bearer of His Arm,Lord of the Fruit-Bearing
Whose Waters Spring Up,The Rigid One,The Measurer
The Lord Dwells in Him,Revealer of the Rock,The Secret of God
The Burning One,The Chariot-Driver,The Prince Over the World
Keeper of the Key,The Innumerable One,Sealer of the Guilty
He Opens the Door,The Golden One,
Ra'uel,Akraziel,Sarakiel
Rahab,Tarshish,Mizraim
Erathaol,Nagragsagiel,Kezef
Hutriel,Kushiel,Af
MALE 1,Englishy,
Erukwyn,Gaegatapijan,Gilan
MALE 2,Englishy,
Ahwa,Utwaam,Ajqeja
Kiig,Irqna,Ganpijana
MALE,Sindarin names from: Noel,Ruth S. and Tolkien
Ehtyarion / Spear Carrier,Mithrennon / Grey,Barathion / Eager
FEMALE,Sindarin names from: Noel,Ruth S. and Tolkien
Silivrenniel / White,Bellethiel / Strong,Gwilwilethel / Butterfly
Englishy,MALE NAMES,
John,Elizabeth,Thomas
Englishy,FEMALE NAMES,
Andrew,PERSONAL /SOCIAL LIST,
Martha,PERSONAL /SOCIAL LIST,
Mai,FEMALE FIRST SYLLABLE,
Grix,MALE FIRST SYLLABLE,
Mu,MALE FIRST SYLLABLE,
Go,MALE FIRST SYLLABLE,
jal,FEMALE FIRST SYLLABLE,
Hy,FEMALE FIRST SYLLABLE,
Ju,MALE FIRST SYLLABLE,
Ho,MALE FIRST SYLLABLE,
Pa,MALE FIRST SYLLABLE,
Pyr,MALE FIRST SYLLABLE,
Fyr,MALE FIRST SYLLABLE,
Xha,FEMALE FIRST SYLLABLE,
Xal,FEMALE FIRST SYLLABLE,
Rol,FEMALE FIRST SYLLABLE,
Ry,FEMALE FIRST SYLLABLE,
Gyl,FEMALE FIRST SYLLABLE,
Jin,MALE FIRST SYLLABLE,
Kai,MALE FIRST SYLLABLE,
Dun,MALE FIRST SYLLABLE,
jai,FEMALE FIRST SYLLABLE,
Wren,MID SYLLABLE,
Shi,MID SYLLABLE,
Wei,MID SYLLABLE,
Ayl,MID SYLLABLE,
Wux,MID SYLLABLE,
Lo,MID SYLLABLE,
Fel,MID SYLLABLE,
Lei,MID SYLLABLE,
Yll,MID SYLLABLE,
Lux,MID SYLLABLE,
Auf,MID SYLLABLE,
Re,MID SYLLABLE,
Sy,MID SYLLABLE,
Rei,MID SYLLABLE,
Ny,MID SYLLABLE,
Ru,MID SYLLABLE,
Fa,MID SYLLABLE,
Rik,MID SYLLABLE,
Tin,MID SYLLABLE,
Fhi,MID SYLLABLE,
To,MID SYLLABLE,
Xu,MID SYLLABLE,
Tix,MID SYLLABLE,
Su,MID SYLLABLE,
Nut,MID SYLLABLE,
Aun,MID SYLLABLE,
Nu,MID SYLLABLE,
Syl,MID SYLLABLE,
Ne,MID SYLLABLE,
Nik,MID SYLLABLE,
Tu,MID SYLLABLE,
Chu,MID SYLLABLE,
Ti,MID SYLLABLE,
Chei,MID SYLLABLE,
Tyl,MID SYLLABLE,
Chin,MID SYLLABLE,
Shu,FINAL SYLLABLE,
Jing,FINAL SYLLABLE,
Ming,FINAL SYLLABLE,
Sing,FINAL SYLLABLE,
Sin,FINAL SYLLABLE,
Xhang,FINAL SYLLABLE,
Mung,FINAL SYLLABLE,
Xhu,FINAL SYLLABLE,
Jhu,FINAL SYLLABLE,
Mhu,FINAL SYLLABLE,
Urn,FINAL SYLLABLE,
Uh,FINAL SYLLABLE,
In,FINAL SYLLABLE,
Ing,FINAL SYLLABLE,
Jow,FINAL SYLLABLE,
Xhow,FINAL SYLLABLE,
Sow,FINAL SYLLABLE,
Ho,FINAL SYLLABLE,
Hing,FINAL SYLLABLE,
Mai,FINAL SYLLABLE,
Wren Hu,TITLES,
MALE NAMES,FEMALE NAMES,SURNAMES
Chafulumisa,Lateef,Donkor
EGYPTIAN CONCEPTS,MALE NAMES,
Abtu,EGYPTIAN CONCEPTS,
Hathor,EGYPTIAN CONCEPTS,
Nuit,EGYPTIAN CONCEPTS,
Geb,EGYPTIAN CONCEPTS,
Meskhenet,EGYPTIAN CONCEPTS,
Djehuty,EGYPTIAN CONCEPTS,
EGYPTIAN CONCEPTS,FEMALE NAMES,
Renpet,EGYPTIAN CONCEPTS,
MALE I,MALE NAMES,
Maho,MALE I,
Pimu'no'mo,MALE I,
Mo'we'wilo,MALE I,
Ke'tlo,MALE I,
Miko,MALE I,
Nuho,MALE I,
Ki'punokawo,MALE I,
Wepohu'ko,MALE I,
Napokiho,MALE I,
Nanahatlu,MALE I,
Piku'pe,MALE I,
Hu'u,MALE I,
Hanehoha,MALE I,
Lowukapi,MALE I,
Nunihu'he,MALE I,
Kapu,MALE I,
Hohalekuwe,MALE I,
Laluli'ke,MALE I,
Pini'hukuhe,MALE I,
Muha'lewe,MALE I,
MALE II,FEMALE NAMES,
Lako'ne,MALE II,
Huka,MALE II,
Hehomu,MALE II,
Ni'huka,MALE II,
Pu'mopuli,MALE II,
Ha'limuhuwapa,MALE II,
Menepihe,MALE II,
Ku'ma,MALE II,
Noneheku,MALE II,
Mi'hihona,MALE II,
Kitlehenake,MALE II,
La'a,MALE II,
Kopokotle,MALE II,
Wehilaleka,MALE II,
Pewalihuka,MALE II,
Ku'u,MALE II,
Tlewatlepa,MALE II,
Naniwomemolu,MALE II,
Kopa'pamo'hoka,MALE II,
Kani'hunu,MALE II,
Hekehehowa,MALE II,
Punokiwu'nu,MALE II,
Hapi'ke'ma,MALE II,
Nume,MALE II,
Nakemi,MALE II,
Kakuhe,MALE II,
Mi'ki,MALE II,
Lamupimilowe,MALE II,
